#{"t_start": 1606315077.983036, "env_id": "gripper-env-v0"}
r,l,t
9100.000071,6,1234.526697
8694.672526,9,1235.117574
-40000.0,200,1245.828287
8692.473228,8,1246.319584
9298.564644,5,1246.674634
5700.000059,23,1247.853265
9498.303914,4,1248.117269
9499.901295,4,1248.414106
9297.818804,5,1248.708554
8899.991851,7,1249.138116
9299.25511,5,1249.453754
10000.0,1,1249.571715
8900.994798,7,1250.039557
8894.158959,7,1250.470567
9297.943042,5,1250.856946
8897.467032,7,1251.288351
4397.269719,31,1252.950932
8699.303326,8,1253.443942
9698.337898,3,1253.653555
9700.848807,3,1253.878381
9698.796292,3,1254.100559
8720.407586,10,1254.692695
7604.026805,14,1255.465749
7698.33057,13,1256.266684
9699.955854,3,1256.496934
8898.254722,7,1256.906832
9298.373598,5,1257.213623
9697.960173,3,1257.417449
5698.257848,23,1258.749192
9198.743201,6,1259.098627
8196.119081,11,1259.705815
8806.672487,8,1260.204666
-2398.698539,71,1263.921203
-5089.394688,78,1268.022165
8211.543082,11,1268.669887
8498.655433,9,1269.323724
8504.84777,11,1270.043518
9110.490943,7,1270.504305
8898.623816,7,1270.92125
9697.899893,3,1271.135823
9298.324559,5,1271.488831
9097.483908,6,1271.889678
8900.740619,8,1272.404644
10000.0,1,1272.539589
9302.101771,5,1272.882114
2898.358188,37,1274.863312
9298.508866,5,1275.188573
-40000.0,200,1286.848282
8096.296251,11,1287.537693
7401.232718,15,1288.375109
9498.302593,4,1288.634966
9297.869128,5,1288.970766
-2797.679049,68,1292.997209
6899.926002,22,1294.549425
9497.197565,4,1294.843039
9297.643076,5,1295.220248
9098.381718,6,1295.631895
8407.736053,10,1296.196921
7290.221819,15,1297.056865
6698.102128,18,1298.127679
-39800.938405,200,1308.816136
9297.931142,5,1309.153934
9300.595275,5,1309.52986
9292.934538,5,1309.929404
9498.969991,4,1310.286237
9298.133087,5,1310.587075
9099.451425,6,1310.967935
-40000.0,200,1322.075027
9698.032952,3,1322.32215
8894.96041,7,1322.760099
9298.020772,5,1323.11297
9298.89593,5,1323.408266
-10701.855945,109,1329.178643
1194.583699,57,1332.924322
8496.49202,9,1333.487936
7298.228882,15,1334.308516
9609.67386,4,1334.606752
9097.863232,6,1335.028575
8697.009747,8,1335.510752
7098.142912,16,1336.410383
9497.860164,4,1336.688146
10000.0,1,1336.803413
2410.352645,40,1338.982915
9298.19913,5,1339.324896
-40000.0,200,1357.606333
9698.290845,3,1357.916269
9211.157081,6,1358.340067
9611.731154,4,1358.609713
9298.012303,5,1358.93135
9298.411519,5,1359.262251
8899.670645,7,1359.685419
9300.508719,5,1360.017175
9210.575116,6,1360.393405
498.117405,49,1362.942101
-5003.359297,77,1367.06879
8797.012296,9,1367.647795
6502.828708,20,1368.850882
-40000.0,200,1379.135352
9298.246873,5,1379.471945
10000.0,1,1379.613561
8498.228921,10,1380.258678
9298.306554,5,1380.577004
8498.581235,10,1381.262043
8098.800611,11,1381.915679
8898.010082,7,1382.376286
5490.221303,24,1383.934831
8196.396024,11,1384.622768
9298.392745,5,1384.911833
9297.04671,5,1385.254323
8898.342313,7,1385.669742
9006.90765,7,1386.09745
8598.156997,9,1386.656948
6300.145329,21,1387.9198
9699.081405,3,1388.135794
9206.23299,6,1388.56073
9298.659684,5,1388.918447
9098.208562,6,1389.312932
6897.680593,17,1390.408192
9498.09998,4,1390.68658
9200.608424,6,1391.074962
9497.847157,4,1391.363417
5598.357688,26,1392.821756
8898.01509,7,1393.298273
9298.101587,5,1393.660128
10000.0,1,1393.769436
7499.415959,14,1394.626218
-40000.0,200,1406.696717
8710.486679,9,1407.22294
7903.772595,14,1408.234449
8899.308158,7,1408.650306
8898.16718,7,1409.130286
8897.322532,7,1409.639285
9298.137787,5,1409.957379
9298.007576,5,1410.255511
9097.676491,6,1410.703106
3916.724578,33,1412.461484
9206.272723,6,1412.855929
-101.903455,52,1415.660724
9699.432207,3,1415.921242
9202.619307,6,1416.335877
8495.545817,9,1416.945301
9297.919139,5,1417.297633
9209.935493,6,1417.733168
9299.968851,5,1418.098043
9015.960767,7,1418.56129
9298.118626,5,1418.902674
8696.927162,8,1419.397511
9211.572518,6,1419.781629
9297.623017,5,1420.11425
9100.353812,6,1420.571582
498.496181,49,1423.389729
-39795.867091,200,1434.523455
6098.324538,21,1435.642555
7499.395989,14,1436.50738
