#{"t_start": 1628511158.2394655, "env_id": "gripper-env-v0"}
r,l,t
9187.657136,8,52182.375444
8590.876681,11,52183.312786
8888.315822,10,52184.072677
8294.462826,13,52185.388163
7799.866374,16,52186.710435
6295.519776,23,52188.401839
8579.060597,11,52189.390334
8581.31202,11,52190.510879
6483.771347,22,52192.091855
6173.293998,26,52193.700241
5926.395742,27,52195.928867
8694.859456,11,52197.096184
8281.214069,13,52198.417018
7487.886869,17,52199.719209
5409.398995,28,52201.672473
4062.748386,39,52204.225128
8977.580066,9,52205.01408
8583.787209,11,52205.918025
6000.010784,25,52207.630736
6897.284986,20,52209.223966
606.35128,54,52213.514161
8383.614945,12,52214.515589
6015.082494,26,52216.886139
8985.218893,9,52217.516924
8791.697353,10,52218.720464
6791.485739,20,52220.197408
8382.288297,12,52221.30501
8588.307387,11,52222.314497
7171.401721,18,52223.562436
8185.75493,13,52224.60344
8985.453984,9,52225.326511
8590.61598,11,52226.335952
7295.265704,18,52227.767854
8181.334878,13,52228.68306
8384.679233,12,52229.552321
8782.1462,10,52230.349987
8890.133089,10,52231.765053
7886.545867,15,52233.142361
8696.821651,11,52234.088312
8300.526906,13,52235.154159
8587.02496,11,52235.99515
8096.278423,14,52237.007752
8377.851246,12,52237.929058
8174.547877,13,52238.851583
8690.722099,11,52240.096368
5321.932846,29,52242.286914
7985.871083,14,52243.282967
7283.58297,18,52245.094188
-40000.0,200,52255.708242
3803.824987,36,52259.279949
8976.728144,9,52259.942723
9096.997504,9,52260.850355
8384.603567,12,52261.866684
8586.046359,11,52263.16592
8698.708582,11,52265.193477
8579.477354,11,52266.211618
7182.627889,18,52267.599881
8978.877433,9,52268.522347
9184.658338,8,52269.502605
8297.432242,13,52270.504047
7587.455592,16,52271.766214
8090.28817,14,52273.09952
8381.869391,12,52274.145221
8390.752265,12,52275.147214
8381.876415,12,52276.888142
8388.86401,12,52277.928223
8780.168185,10,52278.843087
8779.003398,10,52279.659966
8789.024511,10,52280.520344
7596.335133,17,52281.897432
8893.97298,10,52282.803902
8984.796209,9,52283.620808
8979.198409,9,52284.410572
8090.034299,14,52285.536432
2074.153541,44,52288.136711
6687.626027,21,52289.712272
8585.038023,11,52290.790605
7914.432781,16,52292.599104
8784.693471,10,52293.359968
7993.625463,15,52294.799467
5067.973433,32,52297.27342
4913.47521,31,52300.125942
8379.841861,12,52301.168912
8686.363261,11,52302.112809
