time_spent_exploring,episodes,mean_100rew,success_rate,mean_td_errors,current_lr,total_timesteps
2,41700,0.7,0.73,-0.011935261,0.0005,1216812
2,41800,0.8,0.82,0.010831993,0.0005,1221163
2,41900,0.7,0.71,0.02123329,0.0005,1225539
2,42000,0.6,0.57,-0.019024042,0.0005,1229887
2,42100,0.6,0.57,0.00040537212,0.0005,1234235
2,42200,0.7,0.72,0.04868321,0.0005,1238612
2,42300,0.7,0.66,0.027469048,0.0005,1242982
2,42400,0.6,0.59,0.064892754,0.0005,1247270
2,42500,0.7,0.69,-0.0032587647,0.0005,1251584
2,42600,0.6,0.57,0.051461153,0.0005,1255900
2,42700,0.6,0.62,0.05901052,0.0005,1260186
2,42800,0.6,0.55,-0.012316028,0.0005,1264425
2,42900,0.7,0.65,-0.026566917,0.0005,1268759
2,43000,0.7,0.73,0.040703915,0.0005,1273095
2,43100,0.7,0.69,0.050825913,0.0005,1277479
2,43200,0.7,0.7,0.04163305,0.0005,1281832
2,43300,0.6,0.62,-0.015680367,0.0005,1286222
2,43400,0.6,0.61,0.03372154,0.0005,1290555
2,43500,0.6,0.55,0.031442903,0.0005,1294905
2,43600,0.6,0.55,0.00024544355,0.0005,1299201
2,43700,0.6,0.6,0.019753192,0.0005,1303516
2,43800,0.5,0.51,-0.0058283033,0.0005,1307802
2,43900,0.5,0.47,0.028953977,0.0005,1311992
2,44000,0.7,0.73,-0.020101514,0.0005,1316351
2,44100,0.7,0.67,0.047540613,0.0005,1320685
2,44200,0.6,0.62,-0.022832068,0.0005,1324980
2,44300,0.7,0.67,0.078155495,0.0005,1329342
2,44400,0.6,0.58,0.0017712638,0.0005,1333686
2,44500,0.7,0.71,0.019592589,0.0005,1338028
2,44600,0.7,0.72,-0.05121056,0.0005,1342402
2,44700,0.7,0.73,0.009096528,0.0005,1346729
2,44800,0.8,0.81,0.015134996,0.0005,1351103
2,44900,0.8,0.78,-0.0023552757,0.0005,1355461
2,45000,0.8,0.76,0.019664165,0.0005,1359757
2,45100,0.6,0.64,0.0164388,0.0005,1364094
2,45200,0.6,0.59,0.07548791,0.0005,1368455
2,45300,0.6,0.59,0.0031763725,0.0005,1372729
2,45400,0.5,0.51,0.014279859,0.0005,1376976
2,45500,0.5,0.48,0.079590805,0.0005,1381287
2,45600,0.7,0.7,-0.02196908,0.0005,1385666
2,45700,0.7,0.7,-0.014111597,0.0005,1390037
2,45800,0.7,0.66,0.07175556,0.0005,1394393
2,45900,0.7,0.65,-0.06077257,0.0005,1398751
2,46000,0.5,0.47,0.044736147,0.0005,1403145
2,46100,0.6,0.64,0.041041262,0.0005,1407528
2,46200,0.6,0.63,-0.0534153,0.0005,1411895
2,46300,0.5,0.46,-0.025036339,0.0005,1416218
2,46400,0.5,0.53,-0.03266549,0.0005,1420555
2,46500,0.6,0.55,0.13375923,0.0005,1424857
2,46600,0.6,0.6,-0.0077173226,0.0005,1429174
2,46700,0.5,0.52,-0.030710801,0.0005,1433555
2,46800,0.6,0.58,0.004668463,0.0005,1437851
2,46900,0.6,0.61,0.016147804,0.0005,1442184
