#{"t_start": 1596974959.4286354, "env_id": "gripper-env-v0"}
r,s,l,c,timesteps,t
1.0,0.61,39,0.75,1067379,43338.366301
1.0,0.61,39,0.75,1067418,43340.192756
0.0,0.609,34,0.75,1067452,43341.243333
1.0,0.61,39,0.75,1067491,43343.655586
0.0,0.609,39,0.75,1067530,43345.018738
0.0,0.608,37,0.75,1067567,43346.240968
0.0,0.608,33,0.75,1067600,43347.30355
1.0,0.608,39,0.75,1067639,43348.781472
1.0,0.609,39,0.75,1067678,43350.330681
0.0,0.608,33,0.75,1067711,43351.37371
1.0,0.609,39,0.75,1067750,43353.181807
1.0,0.61,39,0.75,1067789,43354.573865
1.0,0.61,39,0.75,1067828,43355.763835
1.0,0.61,39,0.75,1067867,43357.230693
1.0,0.611,39,0.75,1067906,43358.579539
0.0,0.611,39,0.75,1067945,43359.86408
1.0,0.612,39,0.75,1067984,43361.190481
0.0,0.611,39,0.75,1068023,43362.74296
1.0,0.611,39,0.75,1068062,43364.55724
0.0,0.611,39,0.75,1068101,43365.779438
1.0,0.612,39,0.75,1068140,43367.535938
0.0,0.611,39,0.75,1068179,43368.850191
0.0,0.61,39,0.75,1068218,43370.15439
0.0,0.609,39,0.75,1068257,43371.397314
0.0,0.608,39,0.75,1068296,43372.69552
1.0,0.608,39,0.75,1068335,43374.182315
1.0,0.609,39,0.75,1068374,43375.872981
1.0,0.61,39,0.75,1068413,43377.266291
1.0,0.61,39,0.75,1068452,43378.656322
1.0,0.611,39,0.75,1068491,43380.095222
1.0,0.612,39,0.75,1068530,43381.514391
0.0,0.612,39,0.75,1068569,43382.693966
1.0,0.613,39,0.75,1068608,43384.258482
1.0,0.613,39,0.75,1068647,43386.178614
1.0,0.613,39,0.75,1068686,43388.536223
1.0,0.614,39,0.75,1068725,43389.883661
1.0,0.614,39,0.75,1068764,43391.210352
1.0,0.614,39,0.75,1068803,43393.270858
1.0,0.614,39,0.75,1068842,43394.784286
0.0,0.614,33,0.75,1068875,43395.782582
0.0,0.613,39,0.75,1068914,43397.060092
1.0,0.614,39,0.75,1068953,43398.439892
1.0,0.615,39,0.75,1068992,43399.824142
1.0,0.615,39,0.75,1069031,43401.447201
1.0,0.615,39,0.75,1069070,43402.903916
1.0,0.615,39,0.75,1069109,43404.721321
0.0,0.614,39,0.75,1069148,43406.140653
1.0,0.614,39,0.75,1069187,43407.831802
1.0,0.614,39,0.75,1069226,43409.210701
1.0,0.614,39,0.75,1069265,43410.765263
0.0,0.613,39,0.75,1069304,43412.07391
1.0,0.613,39,0.75,1069343,43413.556806
1.0,0.614,39,0.75,1069382,43415.045754
0.0,0.613,39,0.75,1069421,43416.505983
1.0,0.614,39,0.75,1069460,43418.376132
1.0,0.614,39,0.75,1069499,43419.720377
1.0,0.614,39,0.75,1069538,43421.71515
1.0,0.615,39,0.75,1069577,43423.284087
1.0,0.615,39,0.75,1069616,43424.823305
1.0,0.616,39,0.75,1069655,43426.814028
1.0,0.616,39,0.75,1069694,43428.251403
1.0,0.616,39,0.75,1069733,43429.91095
1.0,0.617,39,0.75,1069772,43431.909343
1.0,0.618,39,0.75,1069811,43433.195907
1.0,0.618,39,0.75,1069850,43434.796199
1.0,0.618,39,0.75,1069889,43436.193034
0.0,0.618,39,0.75,1069928,43437.384644
1.0,0.618,39,0.75,1069967,43438.746936
1.0,0.618,39,0.75,1070006,43440.055233
0.0,0.617,39,0.75,1070045,43441.446684
