#{"t_start": 1607074036.1581895, "env_id": "gripper-env-v0"}
r,l,t
-1102.198893,57,8242.912344
9697.433446,3,8243.140495
-10702.067946,105,8251.692411
-40000.0,200,8264.530133
4412.456317,30,8266.367543
-40000.0,200,8280.101913
7122.089148,19,8281.379006
9210.203219,6,8281.835467
9208.315522,6,8282.412593
-10396.589973,104,8289.454856
5101.980235,27,8291.355186
8196.862905,11,8292.112264
-11791.373086,112,8298.607495
8402.010137,10,8299.361937
-4800.185561,76,8303.831321
9299.385684,5,8304.221841
8697.738407,8,8304.769525
8894.674324,7,8305.308162
-197.092872,63,8309.226191
9297.912134,5,8309.581382
7609.575139,23,8311.264821
6715.159256,31,8313.425962
8622.506062,10,8314.148131
5206.206321,32,8316.372415
-39900.24351,200,8328.955887
7802.613576,13,8329.873066
6897.833295,17,8330.855954
1001.162442,47,8334.01491
4710.893614,31,8335.844917
9405.051572,5,8336.239725
5698.278279,23,8337.53216
9294.117027,5,8337.91245
1411.464466,45,8340.553511
-31891.143209,200,8353.360189
-301.485121,53,8356.698745
511.831674,94,8363.425851
9298.424383,5,8363.825608
-40000.0,200,8379.581009
7092.635216,16,8380.606337
5412.507998,32,8382.879592
-40000.0,200,8394.954438
4407.639086,30,8397.086006
9008.286618,7,8397.610479
9100.000057,6,8398.017155
4404.893503,35,8400.293218
9496.6467,5,8400.674619
9112.501039,7,8401.274797
-13299.998099,118,8408.339638
9206.762897,6,8408.830575
9100.073372,6,8409.27424
2898.266828,37,8411.380686
8100.713309,11,8412.178021
9410.774164,5,8412.62977
5913.356494,23,8414.111329
8300.000662,10,8414.783201
9297.088143,5,8415.166901
9008.390845,7,8415.68838
5605.379214,25,8417.235752
8709.253059,9,8417.932665
8899.025584,8,8418.557882
9297.730104,5,8418.927177
7793.632549,17,8420.108719
9109.914053,7,8420.61665
7602.813177,14,8421.525367
3214.040412,66,8426.090149
6013.589418,22,8427.537721
6009.263136,22,8429.005066
-40000.0,200,8440.418159
9698.63107,3,8440.687148
8297.396945,10,8441.307049
9296.415379,5,8441.667988
9211.449551,6,8442.08848
5298.993108,26,8443.698256
8811.85539,8,8444.288028
5297.439017,25,8445.739706
8807.434771,9,8446.348343
9100.000016,6,8446.759606
9498.972572,4,8447.041918
7597.132522,14,8447.952422
5198.031857,26,8449.394624
7092.768248,16,8450.408598
9208.217256,6,8450.872195
4996.092371,28,8452.548692
8299.189938,10,8453.177462
9098.089183,6,8453.612712
8695.46587,8,8454.191733
9098.91919,6,8454.673151
-19502.063225,149,8463.487999
9408.598617,5,8463.870252
7996.781123,12,8464.677919
9298.059958,5,8465.035589
-1008.476692,58,8468.26067
9099.264997,6,8468.683277
8700.000005,8,8469.196118
8699.999967,8,8469.752424
2715.892698,40,8472.035572
7903.887313,12,8472.846553
-902.286914,56,8476.009568
9697.307808,3,8476.280701
9500.741164,4,8476.603005
9099.044762,6,8477.076405
8899.977809,7,8477.505023
5698.049277,23,8478.954136
9298.17503,5,8479.282139
9100.673359,6,8479.77634
8112.917878,12,8480.522037
9497.178214,4,8480.829536
-301.758783,53,8483.93553
4997.796297,27,8485.418287
9500.118171,4,8485.706173
9498.105334,4,8486.013429
6801.230323,18,8487.23525
9401.514791,5,8487.66391
-40000.0,200,8499.617573
9300.232176,5,8499.996112
9098.078448,6,8500.38318
7406.779345,15,8501.365092
5499.966183,24,8503.069234
9098.364268,6,8503.512565
9300.804997,5,8503.910029
7900.000007,12,8504.688981
